Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-04-04,6719.4,6981.9,6676.35,6859.9,269.63072868,1835584.6643151634,6807.772516513311
2020-04-03,6795.3,7030.7,6617.2,6748.76,319.99843104,2180145.777460314,6812.988958648336
2020-04-02,6661.9,7230.3,6573.2,6810.0,479.56917167,3278171.1181261907,6835.658569775548
2020-04-01,6419.8,6693.32,6176.0,6649.8,352.27833405,2257670.22763848,6408.768321579615
2020-03-31,6398.4,6520.7,6359.5,6421.9,117.70601407,759218.425011186,6450.124328903684
2020-03-30,5904.8,6590.7,5870.9,6398.3,348.40039561,2210858.3881152454,6345.740177029202
2020-03-29,6283.9,6283.9,5885.5,5908.9,186.16323995,1131535.436916565,6078.189427840192
2020-03-28,6365.9,6365.9,6045.3,6264.6,404.20351416,2517856.77829726,6229.180821274582
2020-03-27,6752.31,6860.8,6298.6,6382.9,216.71906003,1438962.5468871298,6639.760003979055
2020-03-26,6680.0,6775.3,6543.1,6750.4,189.49500143,1260638.3083169588,6652.620379449124
2020-03-25,6756.3,6945.4,6489.33,6681.0,371.07062606,2475412.020466056,6670.999660495355
2020-03-24,6493.6,6803.9,6408.1,6758.6,157.53492416,1048490.6759985226,6655.607838003118
2020-03-23,5825.0,6605.77,5690.7,6482.3,144.28813993,894144.4909103638,6196.936846951865
2020-03-22,6185.6,6389.54,5763.4,5828.79,171.0844849,1026051.8178362446,5997.339960055283
2020-03-21,6201.1,6441.5,5879.2,6193.8,174.99334028,1083465.0556268832,6191.464508839443
2020-03-20,6205.61,6896.62,5706.4,6210.8,442.99660962,2814583.4969738345,6353.510243313526
2020-03-19,5436.7,6414.5,5296.2,6205.61,521.29166937,2985484.519218143,5727.090407614238
2020-03-18,5368.08,5458.3,5065.8,5412.2,394.61702436,2074095.1334416198,5255.969726104547
2020-03-17,5087.97,5530.4,5005.8,5368.08,327.94531833,1746072.91883264,5324.280668875475
2020-03-16,5410.3,5449.1,4810.3,5080.1,437.23092942,2191381.2761880863,5011.953932662127
2020-03-15,5200.7,5860.9,5185.8,5410.3,142.62587878,785467.1297949804,5507.185207297206
2020-03-14,5637.3,5689.6,5000.0,5207.8,122.04224949,671356.0601162423,5501.013484442971
2020-03-13,4853.8,6088.7,3500.0,5402.6,497.8393937,2667103.160031331,5357.356596891843
2020-03-12,7948.1,7954.7,4082.3,4896.2,890.00647979,5984264.195102658,6723.843400010615
2020-03-11,7889.7,7990.0,7587.48,7963.3,303.89920818,2375340.035386776,7816.210017828856
2020-03-10,7948.4,8183.7,7776.7,7902.1,362.90019182,2880592.0032530553,7937.697659531262
2020-03-09,8049.7,8163.3,7661.17,7945.4,470.03788939,3714482.887615379,7902.518012826417
2020-03-08,8917.2,8917.2,7979.59,8051.0,361.69793462,3050170.104336852,8432.92098845231
2020-03-07,9160.8,9226.96,8877.2,8926.1,66.21272639,602456.4912647345,9098.802059836675
2020-03-06,9056.0,9182.3,9010.2,9154.13,65.71506165,598215.4419322123,9103.170976515587
2020-03-05,8766.5,9181.0,8766.0,9066.1,89.39192003,805463.2102022177,9010.469961176621
2020-03-04,8773.0,8851.0,8660.9,8762.9,86.53568762,759134.8475515238,8772.506100431967
2020-03-03,8923.0,8924.49,8686.1,8775.2,112.34954812,990900.474781092,8819.799379368362
2020-03-02,8546.6,8979.3,8503.7,8915.5,86.0150225,756306.7926282416,8792.729114594391
2020-03-01,8541.1,8764.2,8463.3,8546.1,183.39269963,1569579.5883669413,8558.571805386015
2020-02-29,8742.0,8802.2,8553.4,8553.4,43.54496236,378595.0989536598,8694.348977126087
2020-02-28,8805.2,8892.2,8441.1,8767.0,204.9176763,1768269.827579426,8629.171770378052
2020-02-27,8786.3,8968.0,8490.4,8802.4,190.04677587,1664588.4982432649,8758.835768842053
2020-02-26,9307.5,9359.0,8649.5,8789.7,186.27497986,1669986.508679661,8965.168107572925
2020-02-25,9658.0,9663.5,9249.7,9305.5,84.84649006,799214.2566035541,9419.532334671509
