code,name,description,refreshed_at,from_date,to_date
BCGBP,Bitcoin Markets (bcGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Bc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2012-10-24,2013-04-24
BCMBMGAU,Bitcoin Markets (bcmBMGAU),Daily Bitcoin exchange rate (BTC vs. GAU) on Bcmbm. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-01,2011-08-01
BCMBMUSD,Bitcoin Markets (bcmBMUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bcmbm. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-02-04,2011-08-06
BCMLRUSD,Bitcoin Markets (bcmLRUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bcmlr. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-06-04,2011-08-03
BCMMBUSD,Bitcoin Markets (bcmMBUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bcmmb. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-05-21,2011-08-19
BCMPPUSD,Bitcoin Markets (bcmPPUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bcmpp. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2010-04-25,2011-06-05
BCMPXGAU,Bitcoin Markets (bcmPXGAU),Daily Bitcoin exchange rate (BTC vs. GAU) on Bcmpx. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-06-03,2011-08-15
BIDXTRMPLN,Bitcoin Markets (bidxtrmPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bidxtrm. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2013-08-12,2013-11-18
BIT121GBP,Bitcoin Markets (bit121GBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Bit121. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:27,2013-10-26,2014-03-26
BIT2CILS,Bitcoin Markets (bit2cILS),Daily Bitcoin exchange rate (BTC vs. ILS) on Bit2C. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2013-03-15,2020-04-25
BITALOEUR,Bitcoin Markets (bitaloEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Bitalo. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-11-30,2015-01-29
BITALOGBP,Bitcoin Markets (bitaloGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Bitalo. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-12-25,2014-07-15
BITALOPLN,Bitcoin Markets (bitaloPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bitalo. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-12-05,2014-03-21
BITALOUSD,Bitcoin Markets (bitaloUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitalo. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2014-03-03,2014-08-05
BITBAYEUR,Bitcoin Markets (bitbayEUR),This dataset has no description.,2020-04-25 23:04:27,2015-03-17,2020-04-25
BITBAYPLN,Bitcoin Markets (bitbayPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bitbay. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-03-29,2020-04-25
BITBAYUSD,Bitcoin Markets (bitbayUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitbay. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-05-16,2020-04-25
BITBOXUSD,Bitcoin Markets (bitboxUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitbox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:24,2013-05-07,2013-09-25
BITCASHCZK,Bitcoin Markets (bitcashCZK),Daily Bitcoin exchange rate (BTC vs. CZK) on Bitcash. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-07-29,2013-11-11
BITCHANGEPLN,Bitcoin Markets (bitchangePLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bitchange. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-08-06,2011-10-28
BITCUREXEUR,Bitcoin Markets (bitcurexEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Bitcurex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:19,2012-07-16,2016-10-14
BITCUREXPLN,Bitcoin Markets (bitcurexPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bitcurex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:19,2012-07-24,2016-08-08
BITCUREXUSD,Bitcoin Markets (bitcurexUSD),This dataset has no description.,2017-04-20 23:02:20,2016-04-20,2016-10-14
BITFINEXUSD,Bitcoin Markets (bitfinexUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitfinex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-05-11 15:07:09,2013-03-31,2016-12-22
BITFLOORUSD,Bitcoin Markets (bitfloorUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitfloor. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2012-05-23,2013-04-17
BITFLYERJPY,Bitcoin Markets (bitflyerJPY),This dataset has no description.,2020-04-25 23:04:27,2017-07-04,2020-04-25
BITFLYERUSD,Bitcoin Markets (bitflyerUSD),This dataset has no description.,2020-04-25 23:04:27,2018-06-06,2020-04-25
BITKONANUSD,Bitcoin Markets (bitkonanUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitkonan. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2013-07-02,2020-04-25
BITMARKETGBP,Bitcoin Markets (bitmarketGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Bitmarket. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-04-06,2011-09-02
BITMARKETPLPLN,Bitcoin Markets (bitmarketplPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bitmarketpl. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:19,2014-03-01,2017-04-20
