code,name,description,refreshed_at,from_date,to_date
COINBASECAD,Bitcoin Markets (coinbaseCAD),This dataset has no description.,2017-04-20 23:02:20,2015-08-31,2016-07-29
COINBASEEUR,Bitcoin Markets (coinbaseEUR),This dataset has no description.,2019-02-05 00:18:31,2015-05-11,2019-01-07
COINBASEGBP,Bitcoin Markets (coinbaseGBP),This dataset has no description.,2019-02-05 00:18:31,2015-05-11,2019-01-07
COINBASEUSD,Bitcoin Markets (coinbaseUSD),This dataset has no description.,2019-02-05 00:18:31,2015-02-04,2019-01-07
COINCHECKJPY,Bitcoin Markets (coincheckJPY),This dataset has no description.,2020-04-25 23:04:27,2015-05-11,2020-04-25
COINFALCONEUR,Bitcoin Markets (coinfalconEUR),This dataset has no description.,2020-04-25 23:04:27,2017-10-13,2020-04-25
COINFLOOREUR,Bitcoin Markets (coinfloorEUR),This dataset has no description.,2020-01-31 00:21:15,2019-01-07,2020-01-02
COINFLOORGBP,Bitcoin Markets (coinfloorGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Coinfloor. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-03-29,2020-04-25
COINSBANKEUR,Bitcoin Markets (coinsbankEUR),This dataset has no description.,2020-04-25 23:04:27,2017-07-03,2020-04-25
COINSBANKGBP,Bitcoin Markets (coinsbankGBP),This dataset has no description.,2020-04-25 23:04:27,2017-07-03,2020-04-25
COINSBANKRUB,Bitcoin Markets (coinsbankRUB),This dataset has no description.,2018-06-07 23:18:44,2017-06-29,2018-06-07
COINSBANKUSD,Bitcoin Markets (coinsbankUSD),This dataset has no description.,2020-04-25 23:04:27,2017-07-03,2020-04-25
COINSBITIOUSD,Bitcoin Markets (coinsbitioUSD),This dataset has no description.,2020-01-29 00:04:59,2018-09-06,2019-12-31
COTRUSD,Bitcoin Markets (cotrUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Cotr. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:20,2013-12-21,2016-01-31
CRYPTONITEUR,Bitcoin Markets (cryptonitEUR),This dataset has no description.,2019-06-13 23:21:31,2018-06-26,2019-05-15
CRYPTOXAUD,Bitcoin Markets (cryptoxAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Cryptox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-11-15,2012-11-19
CRYPTOXUSD,Bitcoin Markets (cryptoxUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Cryptox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-11-10,2012-11-19
CRYTREUR,Bitcoin Markets (crytrEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Crytr. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-06-08,2014-07-15
CRYTRUSD,Bitcoin Markets (crytrUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Crytr. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:27,2013-05-27,2014-07-16
EXCHBUSD,Bitcoin Markets (exchbUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Exchb. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-15,2011-10-16
EXMOEUR,Bitcoin Markets (exmoEUR),This dataset has no description.,2017-04-20 23:02:20,2016-04-19,2016-12-14
EXMORUB,Bitcoin Markets (exmoRUB),This dataset has no description.,2017-04-20 23:02:20,2016-04-20,2016-12-14
EXMOUSD,Bitcoin Markets (exmoUSD),This dataset has no description.,2017-04-20 23:02:20,2016-04-14,2016-12-14
FBTCEUR,Bitcoin Markets (fbtcEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Fbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2013-06-23,2013-10-21
FBTCUSD,Bitcoin Markets (fbtcUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Fbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2013-06-25,2013-10-20
FISCOJPY,Bitcoin Markets (fiscoJPY),This dataset has no description.,2020-03-06 00:04:47,2017-10-18,2020-02-06
FLUCTOPLN,Bitcoin Markets (fluctoPLN),This dataset has no description.,2017-12-04 00:04:05,2017-04-09,2017-11-05
FOXBITBRL,Bitcoin Markets (foxbitBRL),This dataset has no description.,2018-07-29 23:04:17,2017-04-09,2018-06-30
FRESHPLN,Bitcoin Markets (freshPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Fresh. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-11,2011-09-03
FYBSESEK,Bitcoin Markets (fybseSEK),Daily Bitcoin exchange rate (BTC vs. SEK) on Fybse. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2013-07-15,2020-04-23
FYBSGSGD,Bitcoin Markets (fybsgSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Fybsg. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-12 00:19:35,2013-01-07,2019-01-14
GETBTCUSD,Bitcoin Markets (getbtcUSD),This dataset has no description.,2019-03-26 23:24:37,2017-06-25,2019-02-25
GLOBALEUR,Bitcoin Markets (globalEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Global. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-26,2011-10-05
GLOBALGBP,Bitcoin Markets (globalGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Global. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-26,2011-11-02
GLOBALPLN,Bitcoin Markets (globalPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Global. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-26,2012-01-01
GLOBALUSD,Bitcoin Markets (globalUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Global. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-26,2011-10-07
HITBTCEUR,Bitcoin Markets (hitbtcEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Hitbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-12-06 00:09:07,2014-01-07,2017-11-07
HITBTCUSD,Bitcoin Markets (hitbtcUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Hitbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-12-16 00:20:01,2013-12-27,2017-11-17
IBWTEUR,Bitcoin Markets (ibwtEUR),This dataset has no description.,2017-04-20 23:02:17,2014-10-20,2015-08-30
IBWTGBP,Bitcoin Markets (ibwtGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Ibwt. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-05-23,2016-01-05
IBWTLTC,Bitcoin Markets (ibwtLTC),This dataset has no description.,2017-04-20 23:02:17,2014-07-07,2015-08-30
IBWTUSD,Bitcoin Markets (ibwtUSD),This dataset has no description.,2017-04-20 23:02:17,2014-09-28,2015-11-04
ICBITUSD,Bitcoin Markets (icbitUSD),This dataset has no description.,2014-05-03 22:00:26,2012-03-18,2014-05-03
IMCEXEUR,Bitcoin Markets (imcexEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Imcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-07-09,2012-09-21
IMCEXUSD,Bitcoin Markets (imcexUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Imcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-07-17,2012-10-14
INDACOINUSD,Bitcoin Markets (indacoinUSD),This dataset has no description.,2017-11-25 00:08:24,2017-07-17,2017-10-27
INTRSNGEUR,Bitcoin Markets (intrsngEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Intrsng. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-07-14,2014-03-03
INTRSNGGBP,Bitcoin Markets (intrsngGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Intrsng. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-16,2014-03-04
INTRSNGPLN,Bitcoin Markets (intrsngPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Intrsng. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-10-26,2013-06-19
INTRSNGUSD,Bitcoin Markets (intrsngUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Intrsng. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-07-21,2012-10-20
ITBITEUR,Bitcoin Markets (itbitEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Itbit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-23 00:30:50,2013-11-17,2019-01-25
ITBITSGD,Bitcoin Markets (itbitSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Itbit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-21 00:24:54,2013-11-18,2019-01-23
ITBITUSD,Bitcoin Markets (itbitUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Itbit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-23 00:30:50,2013-08-25,2019-01-25
JUBICNY,Bitcoin Markets (jubiCNY),This dataset has no description.,2017-10-29 23:03:38,2017-06-02,2017-09-30
JUSTEUR,Bitcoin Markets (justEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Just. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-08-14,2014-10-29
JUSTLTC,Bitcoin Markets (justLTC),Daily Bitcoin exchange rate (BTC vs. LTC) on Just. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-04-29,2014-10-29
JUSTNOK,Bitcoin Markets (justNOK),Daily Bitcoin exchange rate (BTC vs. NOK) on Just. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-06-06,2014-10-29
JUSTUSD,Bitcoin Markets (justUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Just. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-10-25,2014-10-29
JUSTXRP,Bitcoin Markets (justXRP),Daily Bitcoin exchange rate (BTC vs. XRP) on Just. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:24,2013-04-19,2014-10-29
KORBITKRW,Bitcoin Markets (korbitKRW),Daily Bitcoin exchange rate (BTC vs. KRW) on Korbit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-14 23:04:28,2013-09-03,2020-03-16
KPTNSEK,Bitcoin Markets (kptnSEK),Daily Bitcoin exchange rate (BTC vs. SEK) on Kptn. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2012-04-19,2014-08-09
KRAKENCAD,Bitcoin Markets (krakenCAD),This dataset has no description.,2020-04-25 23:04:27,2016-03-09,2020-04-25
KRAKENEUR,Bitcoin Markets (krakenEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Kraken. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-01-08,2020-04-25
KRAKENGBP,Bitcoin Markets (krakenGBP),This dataset has no description.,2017-09-20 23:03:53,2017-06-11,2017-08-22
KRAKENJPY,Bitcoin Markets (krakenJPY),This dataset has no description.,2020-04-25 23:04:27,2017-06-11,2020-04-25
KRAKENKRW,Bitcoin Markets (krakenKRW),Daily Bitcoin exchange rate (BTC vs. KRW) on Kraken. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-12-07,2014-08-30
KRAKENLTC,Bitcoin Markets (krakenLTC),Daily Bitcoin exchange rate (BTC vs. LTC) on Kraken. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:19,2014-01-07,2016-07-19
KRAKENNMC,Bitcoin Markets (krakenNMC),Daily Bitcoin exchange rate (BTC vs. NMC) on Kraken. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:20,2014-01-02,2016-05-22
KRAKENUSD,Bitcoin Markets (krakenUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Kraken. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-01-07,2020-04-25
KRAKENXRP,Bitcoin Markets (krakenXRP),Daily Bitcoin exchange rate (BTC vs. XRP) on Kraken. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:20,2014-01-04,2016-07-19
LAKEUSD,Bitcoin Markets (lakeUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Lake. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-03-01,2020-04-25
LOCALBTCARS,Bitcoin Markets (localbtcARS),Daily Bitcoin exchange rate (BTC vs. ARS) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-04-19,2019-01-08
LOCALBTCAUD,Bitcoin Markets (localbtcAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-11,2019-01-08
LOCALBTCBRL,Bitcoin Markets (localbtcBRL),Daily Bitcoin exchange rate (BTC vs. BRL) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-18,2019-01-08
LOCALBTCCAD,Bitcoin Markets (localbtcCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-12,2019-01-08
LOCALBTCCHF,Bitcoin Markets (localbtcCHF),Daily Bitcoin exchange rate (BTC vs. CHF) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-04-07,2019-01-08
LOCALBTCCZK,Bitcoin Markets (localbtcCZK),Daily Bitcoin exchange rate (BTC vs. CZK) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-05 00:18:31,2013-04-10,2019-01-07
LOCALBTCDKK,Bitcoin Markets (localbtcDKK),Daily Bitcoin exchange rate (BTC vs. DKK) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-04-19,2019-01-08
LOCALBTCEUR,Bitcoin Markets (localbtcEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-12,2019-01-08
LOCALBTCGBP,Bitcoin Markets (localbtcGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-11,2019-01-08
LOCALBTCHKD,Bitcoin Markets (localbtcHKD),Daily Bitcoin exchange rate (BTC vs. HKD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-04-03,2019-01-08
LOCALBTCILS,Bitcoin Markets (localbtcILS),Daily Bitcoin exchange rate (BTC vs. ILS) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-05 00:18:31,2013-03-18,2019-01-07
LOCALBTCINR,Bitcoin Markets (localbtcINR),Daily Bitcoin exchange rate (BTC vs. INR) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-20,2019-01-08
LOCALBTCMXN,Bitcoin Markets (localbtcMXN),Daily Bitcoin exchange rate (BTC vs. MXN) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-11,2019-01-08
LOCALBTCNOK,Bitcoin Markets (localbtcNOK),Daily Bitcoin exchange rate (BTC vs. NOK) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-12,2019-01-08
LOCALBTCNZD,Bitcoin Markets (localbtcNZD),Daily Bitcoin exchange rate (BTC vs. NZD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-13,2019-01-08
LOCALBTCPLN,Bitcoin Markets (localbtcPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-06-24,2019-01-08
LOCALBTCRUB,Bitcoin Markets (localbtcRUB),Daily Bitcoin exchange rate (BTC vs. RUB) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-03-28,2019-01-08
LOCALBTCSEK,Bitcoin Markets (localbtcSEK),Daily Bitcoin exchange rate (BTC vs. SEK) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-03-12,2019-01-08
LOCALBTCSGD,Bitcoin Markets (localbtcSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-23,2019-01-08
LOCALBTCTHB,Bitcoin Markets (localbtcTHB),Daily Bitcoin exchange rate (BTC vs. THB) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-25,2019-01-08
LOCALBTCUSD,Bitcoin Markets (localbtcUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-03-11,2019-01-08
LOCALBTCVEF,Bitcoin Markets (localbtcVEF),This dataset has no description.,2018-12-20 00:04:19,2017-08-14,2018-11-21
LOCALBTCVES,Bitcoin Markets (localbtcVES),This dataset has no description.,2019-02-06 00:18:19,2018-08-21,2019-01-08
LOCALBTCVND,Bitcoin Markets (localbtcVND),This dataset has no description.,2019-02-06 00:18:19,2017-04-20,2019-01-08
LOCALBTCZAR,Bitcoin Markets (localbtcZAR),Daily Bitcoin exchange rate (BTC vs. ZAR) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-05-24,2019-01-08
LYBITCAD,Bitcoin Markets (lybitCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Lybit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-01-27,2013-06-10
LYBITUSD,Bitcoin Markets (lybitUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Lybit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-01-29,2013-06-08
MRCDBRL,Bitcoin Markets (mrcdBRL),Daily Bitcoin exchange rate (BTC vs. BRL) on Mrcd. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-12 00:19:35,2011-07-28,2019-02-11
MTGOXAUD,Bitcoin Markets (mtgoxAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-02,2014-02-25
MTGOXCAD,Bitcoin Markets (mtgoxCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-27,2014-02-25
MTGOXCHF,Bitcoin Markets (mtgoxCHF),Daily Bitcoin exchange rate (BTC vs. CHF) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-03,2014-02-25
MTGOXCNY,Bitcoin Markets (mtgoxCNY),Daily Bitcoin exchange rate (BTC vs. CNY) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-02,2014-02-25
