Date,Close
6/6/2018 23:58:00,0.8485
6/7/2018 23:58:00,0.8478
6/8/2018 23:58:00,0.84868
6/9/2018 23:58:00,0.84868
6/10/2018 23:58:00,0.84861
6/11/2018 23:58:00,0.84932
6/12/2018 23:58:00,0.85119
6/13/2018 23:58:00,0.8469
6/14/2018 23:58:00,0.86456
6/15/2018 23:58:00,0.86036
6/16/2018 23:58:00,0.86036
6/17/2018 23:58:00,0.86237
6/18/2018 23:58:00,0.85979
6/19/2018 23:58:00,0.86292
6/20/2018 23:58:00,0.86363
6/21/2018 23:58:00,0.86164
6/22/2018 23:58:00,0.85697
6/23/2018 23:58:00,0.85697
6/24/2018 23:58:00,0.85753
6/25/2018 23:58:00,0.8545
6/26/2018 23:58:00,0.85835
6/27/2018 23:58:00,0.86478
6/28/2018 23:58:00,0.86483
6/29/2018 23:58:00,0.85434
6/30/2018 23:58:00,0.85434
7/1/2018 23:58:00,0.85627
7/2/2018 23:58:00,0.85895
7/3/2018 23:58:00,0.85769
7/4/2018 23:58:00,0.85746
7/5/2018 23:58:00,0.855
7/6/2018 23:58:00,0.85063
7/7/2018 23:58:00,0.85063
7/8/2018 23:58:00,0.8509
7/9/2018 23:58:00,0.85056
7/10/2018 23:58:00,0.85273
7/11/2018 23:58:00,0.8564
7/12/2018 23:58:00,0.8572
7/13/2018 23:58:00,0.85448
7/14/2018 23:58:00,0.85463
7/15/2018 23:58:00,0.85623
7/16/2018 23:58:00,0.85401
7/17/2018 23:58:00,0.85813
7/18/2018 23:58:00,0.85869
7/19/2018 23:58:00,0.85799
7/20/2018 23:58:00,0.85237
7/21/2018 23:58:00,0.85237
7/22/2018 23:58:00,0.85165
7/23/2018 23:58:00,0.85513
7/24/2018 23:58:00,0.85576
7/25/2018 23:58:00,0.85197
7/26/2018 23:58:00,0.85889
7/27/2018 23:58:00,0.8566
7/28/2018 23:58:00,0.8566
7/29/2018 23:58:00,0.8576
7/30/2018 23:58:00,0.85416
7/31/2018 23:58:00,0.85546
8/1/2018 23:58:00,0.8572
8/2/2018 23:58:00,0.86311
8/3/2018 23:58:00,0.86326
8/4/2018 23:58:00,0.86326
8/5/2018 23:58:00,0.86488
8/6/2018 23:58:00,0.8652
8/7/2018 23:58:00,0.86185
8/8/2018 23:58:00,0.86127
8/9/2018 23:58:00,0.86776
8/10/2018 23:58:00,0.87535
8/11/2018 23:58:00,0.87535
8/12/2018 23:58:00,0.8776
8/13/2018 23:58:00,0.877
8/14/2018 23:58:00,0.88139
8/15/2018 23:58:00,0.8815
8/16/2018 23:58:00,0.8794
8/17/2018 23:58:00,0.87336
8/18/2018 23:58:00,0.87336
8/19/2018 23:58:00,0.8743
8/20/2018 23:58:00,0.87022
8/21/2018 23:58:00,0.8638
8/22/2018 23:58:00,0.8632
8/23/2018 23:58:00,0.8663
8/24/2018 23:58:00,0.85955
8/25/2018 23:58:00,0.85955
8/26/2018 23:58:00,0.85845
8/27/2018 23:58:00,0.8559
8/28/2018 23:58:00,0.85534
8/29/2018 23:58:00,0.85399
8/30/2018 23:58:00,0.85729
8/31/2018 23:58:00,0.86036
